Scanning results from: /home/rdpuser/EmbodiedBench/running
Loaded 19 short_name mappings from experiment_specs.yaml

Found results for 4 environments:
  - eb_alfred: 204 experiment(s)
  - eb_habitat: 186 experiment(s)
  - eb_manipulation: 36 experiment(s)
  - eb_nav: 63 experiment(s)

# CHANGES FROM PREVIOUS RUN

Comparing with previous results from: 2025-11-21 09:13:43

## Environment: EB_ALFRED

### New Experiments (2)

- **20251121-multi-step--final-ablation-5temp0.6_maxTokens8192** with dimensions: base, common_sense, complex_instruction, spatial, visual_appearance
- **20251121-text-only--multi-step--final-ablation-5temp0.6_maxTokens8192** with dimensions: base, common_sense, complex_instruction, long_horizon, spatial, visual_appearance

## Summary of Changes

- **New experiments**: 2
- **New dimensions**: 0
- **Improvements**: 0
- **Regressions**: 0


# AGGREGATED SUMMARY TABLES - MEAN ± STD OF TASK SUCCESS


## Environment: EB_ALFRED - AGGREGATED SUMMARY (Reworked Mean ± Std of Task Success)

| Experiment                                                                                                                                                                                                  | base           | common_sense   | complex_instruction   | long_horizon   | spatial        | visual_appearance   | Avg Invalid Action Ratio   |
|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------|:---------------|:----------------------|:---------------|:---------------|:--------------------|:---------------------------|
| 20251106-combined-2-sft_pix_3136_262144_bs1_accum8_gpus8_lr1e-5_cosine0.1_epoch3_freeze_vision-true-proj-true-lm-false_model_ActionCorrection_OneStepPlanLoose_3Retries_WithReasoning_temp0.6_maxTokens6144 | 19.33% ± 4.62% | 16.67% ± 5.03% | 22.67% ± 1.15%        | 1.33% ± 1.15%  | 11.33% ± 1.15% | 9.33% ± 5.03%       | 0.360 ± 0.010              |
| 20251106-combined-2-sft_pix_3136_262144_bs1_accum8_gpus8_lr1e-5_cosine0.1_epoch3_freeze_vision-true-proj-true-lm-false_model_ActionCorrection_OneStepPlanLoose_3Retries_WithReasoning_temp0.7_maxTokens6144 | 18.00% ± 4.00% | 22.67% ± 1.15% | 20.00% ± 2.00%        | 2.00% ± 0.00%  | 12.00% ± 3.46% | 9.33% ± 1.15%       | 0.363 ± 0.005              |
| 20251106-combined-5-sft_pix_3136_262144_bs1_accum8_gpus8_lr1e-5_cosine0.1_epoch3_freeze_vision-true-proj-true-lm-false_modeltemp0.6_maxTokens6144                                                           | 18.67% ± 2.31% | 20.00% ± 2.00% | 23.33% ± 1.15%        | 1.33% ± 2.31%  | 5.33% ± 1.15%  | 9.33% ± 3.06%       | 0.346 ± 0.021              |
| 20251106-gated-rs-rm-2-vis1.0-sa1.0-agentic-functions-verifier-videor1_min_1.5-globalbs-128-updatebs-1-expbs-2-nnodes--2--global_step_30--actor--huggingfacetemp0.6_maxTokens6144                           | 18.67% ± 3.06% | 16.00% ± 4.00% | 22.00% ± 2.00%        | 0.00% ± 0.00%  | 8.67% ± 1.15%  | 10.00% ± 2.00%      | 0.434 ± 0.012              |
| 20251106-gated-rs-rm-2-vis1.0-sa1.0-agentic-functions-verifier-videor1_min_1.5-globalbs-128-updatebs-1-expbs-2-nnodes--2--global_step_30--actor--huggingfacetemp0.6_maxTokens8192                           | 19.33% ± 4.16% | 11.33% ± 1.15% | 20.00% ± 5.29%        | 0.67% ± 1.15%  | 8.67% ± 2.31%  | 6.67% ± 1.15%       | 0.441 ± 0.008              |
| 20251106-gated-rs-rm-2-vis1.0-sa1.0-agentic-functions-verifier-videor1_min_1.5-globalbs-128-updatebs-1-expbs-2-nnodes--2--global_step_35--actor--huggingfacetemp0.6_maxTokens6144                           | 15.33% ± 4.62% | 15.33% ± 4.62% | 21.33% ± 4.62%        | 0.00% ± 0.00%  | 4.67% ± 2.31%  | 6.00% ± 3.46%       | 0.460 ± 0.024              |
| 20251106-gated-rs-rm-2-vis1.0-sa1.0-agentic-functions-verifier-videor1_min_1.5-globalbs-128-updatebs-1-expbs-2-nnodes--2--global_step_35--actor--huggingfacetemp0.6_maxTokens8192                           | 20.00% ± 2.00% | 19.33% ± 2.31% | 20.67% ± 4.16%        | 0.00% ± 0.00%  | 6.67% ± 1.15%  | 9.33% ± 1.15%       | 0.464 ± 0.006              |
| 20251106-gated-rs-rm-2-vis1.0-sa1.0-agentic-functions-verifier-videor1_min_1.5-globalbs-128-updatebs-1-expbs-2-nnodes--2temp0.6_maxTokens6144                                                               | 17.33% ± 1.15% | 14.00% ± 4.00% | 23.33% ± 4.62%        | 0.67% ± 1.15%  | 6.67% ± 2.31%  | 10.00% ± 4.00%      | 0.430 ± 0.004              |
| 20251107-gated-rs-rm-2-vis1.0-sa1.0-agentic-functions-verifier-videor1_min_1.5-globalbs-128-updatebs-1-expbs-2--global_step_40--ActCorr_1SPLoose_3Ret_WReason_temp0.6_maxTokens8192                         | 14.67% ± 5.03% | 17.33% ± 4.16% | 22.00% ± 0.00%        | 0.00% ± 0.00%  | 7.33% ± 4.16%  | 10.00% ± 2.00%      | 0.398 ± 0.007              |
